date,value
01/04/21,2220
08/04/21,2246
15/04/21,2224
22/04/21,2100
29/04/21,2179
06/05/21,2248
13/05/21,2288
20/05/21,2181
27/05/21,2290
03/06/21,2263
10/06/21,2310
17/06/21,2238
24/06/21,2190
01/07/21,2270
08/07/21,2384
15/07/21,2378
22/07/21,2318
29/07/21,2328
05/08/21,2382
12/08/21,2365
19/08/21,2400
26/08/21,2275
02/09/21,2411
09/09/21,2350
16/09/21,2411
23/09/21,2395
30/09/21,2402
07/10/21,2477
14/10/21,2343
21/10/21,2470
28/10/21,2441
04/11/21,2538
11/11/21,2470
18/11/21,2441
25/11/21,2479
02/12/21,2469
09/12/21,2506
16/12/21,2476
23/12/21,2469
30/12/21,2501
06/01/22,2575
13/01/22,2586
20/01/22,2646
27/01/22,2578
03/02/22,2608
10/02/22,2614
17/02/22,2531
24/02/22,2687
03/03/22,2669
10/03/22,2745
17/03/22,2645
24/03/22,2625
31/03/22,2714
07/04/22,2754
14/04/22,2794
21/04/22,2644
28/04/22,2744
05/05/22,2635
12/05/22,2755
19/05/22,2732
26/05/22,2825
02/06/22,2839
09/06/22,2718
16/06/22,2753
23/06/22,2751
30/06/22,2878
07/07/22,2806
14/07/22,2737
21/07/22,2923
28/07/22,2891
04/08/22,2863
11/08/22,2856
18/08/22,2979
25/08/22,2851
01/09/22,2961
08/09/22,2865
15/09/22,2979
22/09/22,2922
29/09/22,3009
06/10/22,2910
13/10/22,2907
20/10/22,2876
27/10/22,2896
03/11/22,2963
10/11/22,2968
17/11/22,2927
24/11/22,3080
01/12/22,3041
08/12/22,2980
15/12/22,3011
22/12/22,3074
29/12/22,3002
05/01/23,3000
12/01/23,3067
19/01/23,3108
26/01/23,3169
02/02/23,3043
09/02/23,3213
16/02/23,3240
23/02/23,3166
02/03/23,3183
09/03/23,3212
16/03/23,3201
23/03/23,3171
30/03/23,3176
06/04/23,3173
13/04/23,3157
20/04/23,3235
27/04/23,3233
04/05/23,3210
11/05/23,3355
18/05/23,3210
25/05/23,3266
01/06/23,3268
08/06/23,3397
15/06/23,3295
22/06/23,3273
29/06/23,3359
06/07/23,3298
13/07/23,3354
20/07/23,3280
27/07/23,3273
03/08/23,3313
10/08/23,3422
17/08/23,3335
24/08/23,3474
31/08/23,3343
07/09/23,3517
14/09/23,3395
21/09/23,3507
28/09/23,3435
05/10/23,3453
12/10/23,3395
19/10/23,3522
26/10/23,3512
02/11/23,3449
Date,Beds
01/04/21,2053
08/04/21,2053
15/04/21,2053
22/04/21,2053
29/04/21,2053
06/05/21,2053
13/05/21,2053
20/05/21,2053
27/05/21,2053
03/06/21,2053
10/06/21,2053
17/06/21,2053
24/06/21,2053
01/07/21,2053
08/07/21,2053
15/07/21,2053
22/07/21,2053
29/07/21,2053
05/08/21,2053
12/08/21,2053
19/08/21,2053
26/08/21,2053
02/09/21,2053
09/09/21,2053
16/09/21,2053
23/09/21,2053
30/09/21,2053
07/10/21,2053
14/10/21,2053
21/10/21,2053
28/10/21,2053
04/11/21,2053
11/11/21,2053
18/11/21,2053
25/11/21,2053
02/12/21,2053
09/12/21,2053
16/12/21,2053
23/12/21,2053
30/12/21,2053
06/01/22,2053
13/01/22,2053
20/01/22,2053
27/01/22,2053
03/02/22,2053
10/02/22,2053
17/02/22,2053
24/02/22,2053
03/03/22,2053
10/03/22,2053
17/03/22,2053
24/03/22,2053
31/03/22,2053
07/04/22,2053
14/04/22,2053
21/04/22,2053
28/04/22,2053
05/05/22,2053
12/05/22,2053
19/05/22,2053
26/05/22,2053
02/06/22,2053
09/06/22,2053
16/06/22,2053
23/06/22,2053
30/06/22,2053
07/07/22,2053
14/07/22,2053
21/07/22,2053
28/07/22,2053
04/08/22,2053
11/08/22,2053
18/08/22,2053
25/08/22,2053
01/09/22,2053
08/09/22,2053
15/09/22,2053
22/09/22,2053
29/09/22,2053
06/10/22,2053
13/10/22,2053
20/10/22,2053
27/10/22,2053
03/11/22,2053
10/11/22,2053
17/11/22,2053
24/11/22,2053
01/12/22,2053
08/12/22,2053
15/12/22,2053
22/12/22,2053
29/12/22,2053
05/01/23,2053
12/01/23,2053
19/01/23,2053
26/01/23,2053
02/02/23,2053
09/02/23,2053
16/02/23,2053
23/02/23,2053
02/03/23,2053
09/03/23,2053
16/03/23,2053
23/03/23,2053
30/03/23,2053
06/04/23,2053
13/04/23,2053
20/04/23,2053
27/04/23,2053
04/05/23,2053
11/05/23,2053
18/05/23,2053
25/05/23,2053
01/06/23,2053
08/06/23,2053
15/06/23,2053
22/06/23,2053
29/06/23,2053
06/07/23,2053
13/07/23,2053
20/07/23,2053
27/07/23,2053
03/08/23,2053
10/08/23,2053
17/08/23,2053
24/08/23,2053
31/08/23,2053
07/09/23,2053
14/09/23,2053
21/09/23,2053
28/09/23,2053
05/10/23,2053
12/10/23,2053
19/10/23,2053
26/10/23,2053
02/11/23,2053
